timestamp,block,date,asset,net_pnl,staker_pnl,fees_paid
1675820500,72850000,2023-02-08 01:41:40,AAVE,0.0,-0.0,0.0
1675843637,72900000,2023-02-08 08:07:17,AAVE,0.0,-0.0,0.0
1675865140,72950000,2023-02-08 14:05:40,AAVE,0.0,-0.0,0.0
1675882364,73000000,2023-02-08 18:52:44,AAVE,0.0,-0.0,0.0
1675909344,73050000,2023-02-09 02:22:24,AAVE,0.0,-0.0,0.0
1675928061,73100000,2023-02-09 07:34:21,AAVE,0.0,-0.0,0.0
1675950458,73150000,2023-02-09 13:47:38,AAVE,0.0,-0.0,0.0
1675970730,73200000,2023-02-09 19:25:30,AAVE,-250.94486460084045,250.94486460084045,5.634494263100805
1675977895,73250000,2023-02-09 21:24:55,AAVE,-321.0754238736804,321.0754238736804,5.634494263100805
1675988832,73300000,2023-02-10 00:27:12,AAVE,-394.98945115584064,394.98945115584064,8.235161665547764
1676001736,73350000,2023-02-10 04:02:16,AAVE,-402.4315814955598,402.4315814955598,8.235161665547764
1676013011,73400000,2023-02-10 07:10:11,AAVE,-380.40193442780463,380.40193442780463,8.235161665547764
1676028150,73450000,2023-02-10 11:22:30,AAVE,-378.1062069549013,378.1062069549013,8.235161665547764
1676043486,73500000,2023-02-10 15:38:06,AAVE,-372.13285647200263,372.13285647200263,8.235161665547764
1676063542,73550000,2023-02-10 21:12:22,AAVE,-341.5708836273756,341.5708836273756,8.235161665547764
1676087135,73600000,2023-02-11 03:45:35,AAVE,-370.6645921367614,370.6645921367614,8.235161665547764
1676110506,73650000,2023-02-11 10:15:06,AAVE,-393.15362473599697,393.15362473599697,8.235161665547764
1676128389,73700000,2023-02-11 15:13:09,AAVE,-358.8449395628533,358.8449395628533,8.235161665547764
1676153521,73750000,2023-02-11 22:12:01,AAVE,-368.90528339225006,368.90528339225006,8.235161665547764
1676181815,73800000,2023-02-12 06:03:35,AAVE,-365.0102981657918,365.0102981657918,10.636356030216026
1676201328,73850000,2023-02-12 11:28:48,AAVE,-417.231682777547,417.231682777547,73.51230134496778
1676219313,73900000,2023-02-12 16:28:33,AAVE,-407.3604319316979,407.3604319316979,73.51230134496778
1676242023,73950000,2023-02-12 22:47:03,AAVE,-494.77035659568435,494.77035659568435,73.51230134496778
